,no_bathroom,condition,district,price,no_rooms,ref,estate_type,area,altitude,energy_efficiency,longitude,area_total,area_usage
3,2.0,Usado,Alcântara,430000.0,,11180088,Loja,Alcântara,-9.17925953864096,,38.705430649805,120.0,96.0
4,1.0,Usado,Alcântara,430000.0,,11180110,Loja,Alcântara,-9.17925953864096,,38.705430649805,91.0,73.0
5,1.0,Usado,Alcântara,450000.0,3.0,11180114,Apartamento,Alto Sto Amaro,-9.17925953864096,C,38.705430649805,115.0,105.0
6,2.0,Usado,Alcântara,345000.0,2.0,11180116,Apartamento,Alcântara,-9.17925953864096,C,38.705430649805,90.0,81.0
7,4.0,Usado,Alcântara,1220000.0,5.0,11180154,Andar Moradia,Alcântara,-9.17925953864096,B,38.705430649805,361.0,262.0
8,1.0,Novo,Alcântara,260000.0,2.0,11180162,Apartamento,Alcântara,-9.17925953864096,E,38.705430649805,70.0,56.0
9,,Usado,Alcântara,500000.0,,11180183,Prédio,Alcântara,-9.17925953864096,C,38.705430649805,189.0,170.0
11,1.0,Usado,Alcântara,250000.0,2.0,11180226,Apartamento,Alcântara,-9.17925953864096,C,38.705430649805,60.0,55.0
12,1.0,Usado,Alcântara,200000.0,2.0,11180240,Apartamento,Alcântara,-9.17925953864096,D,38.705430649805,65.0,58.0
13,,Usado,Ajuda,480000.0,,11180242,Prédio,Ajuda,-9.19932246199107,E,38.7058743895297,236.0,178.0
14,1.0,Usado,Alcântara,275000.0,,11180265,Armazém,Alcântara,-9.17925953864096,,38.705430649805,190.0,175.0
15,1.0,Novo,Alcântara,259000.0,2.0,11190005,Apartamento,Alcântara,-9.17925953864096,,38.705430649805,93.0,80.0
17,2.0,Usado,Alcântara,525000.0,2.0,11190030,Apartamento,Alcântara,-9.17925953864096,,38.705430649805,117.0,110.0
18,2.0,Usado,Ajuda,268000.0,3.0,11190058,Apartamento,Ajuda,-9.19932246199107,D,38.7058743895297,110.0,95.0
19,2.0,Usado,Ajuda,340000.0,2.0,11190064,Duplex,Ajuda,-9.19932246199107,F,38.7058743895297,101.0,92.0
20,1.0,Usado,Ajuda,270000.0,2.0,11190071,Apartamento,Ajuda,-9.19932246199107,C,38.7058743895297,68.0,62.0
21,1.0,Novo,Alcântara,140000.0,1.0,11190076,Apartamento,Quinta do Jacinto,-9.17925953864096,,38.705430649805,45.0,36.0
